Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,7,117,1,Some Random Commen with Id 0
1,0,7,26,2,Some Random Commen with Id 1
2,0,7,103,2,Some Random Commen with Id 2
3,0,7,41,6,Some Random Commen with Id 3
4,0,7,136,8,Some Random Commen with Id 4
5,1,1,17,0,Some Random Commen with Id 5
6,1,1,7,3,Some Random Commen with Id 6
7,1,1,107,3,Some Random Commen with Id 7
8,2,9,121,9,Some Random Commen with Id 8
9,2,9,111,9,Some Random Commen with Id 9
10,2,9,106,7,Some Random Commen with Id 10
11,2,9,44,2,Some Random Commen with Id 11
12,2,9,110,1,Some Random Commen with Id 12
13,2,9,43,0,Some Random Commen with Id 13
14,2,9,10,9,Some Random Commen with Id 14
15,2,9,38,6,Some Random Commen with Id 15
16,2,9,62,4,Some Random Commen with Id 16
17,3,7,99,0,Some Random Commen with Id 17
18,3,7,125,1,Some Random Commen with Id 18
19,3,7,2,8,Some Random Commen with Id 19
20,3,7,57,9,Some Random Commen with Id 20
21,3,7,40,7,Some Random Commen with Id 21
22,3,7,179,0,Some Random Commen with Id 22
23,3,7,13,3,Some Random Commen with Id 23
24,4,0,180,9,Some Random Commen with Id 24
25,4,0,34,7,Some Random Commen with Id 25
26,4,0,173,0,Some Random Commen with Id 26
27,4,0,23,2,Some Random Commen with Id 27
28,4,0,14,8,Some Random Commen with Id 28
29,4,0,126,5,Some Random Commen with Id 29
30,5,0,46,0,Some Random Commen with Id 30
31,5,0,117,9,Some Random Commen with Id 31
32,5,0,118,6,Some Random Commen with Id 32
33,5,0,144,2,Some Random Commen with Id 33
34,5,0,168,4,Some Random Commen with Id 34
35,5,0,117,7,Some Random Commen with Id 35
36,5,0,67,6,Some Random Commen with Id 36
37,5,0,31,9,Some Random Commen with Id 37
38,5,0,105,6,Some Random Commen with Id 38
39,6,2,191,0,Some Random Commen with Id 39
40,6,2,195,3,Some Random Commen with Id 40
41,6,2,59,3,Some Random Commen with Id 41
42,6,2,133,1,Some Random Commen with Id 42
43,6,2,143,7,Some Random Commen with Id 43
44,6,2,98,3,Some Random Commen with Id 44
45,6,2,99,9,Some Random Commen with Id 45
46,6,2,36,2,Some Random Commen with Id 46
47,7,3,39,6,Some Random Commen with Id 47
48,7,3,34,7,Some Random Commen with Id 48
49,7,3,184,0,Some Random Commen with Id 49
50,7,3,118,7,Some Random Commen with Id 50
51,7,3,27,8,Some Random Commen with Id 51
52,7,3,137,9,Some Random Commen with Id 52
53,8,5,177,3,Some Random Commen with Id 53
54,8,5,196,8,Some Random Commen with Id 54
55,9,3,140,8,Some Random Commen with Id 55
56,9,3,5,1,Some Random Commen with Id 56
57,9,3,192,5,Some Random Commen with Id 57
58,9,3,118,9,Some Random Commen with Id 58
59,9,3,100,3,Some Random Commen with Id 59
60,9,3,66,0,Some Random Commen with Id 60
61,9,3,66,6,Some Random Commen with Id 61
62,9,3,10,3,Some Random Commen with Id 62
63,10,0,32,6,Some Random Commen with Id 63
64,10,0,100,7,Some Random Commen with Id 64
65,10,0,63,3,Some Random Commen with Id 65
66,11,0,49,5,Some Random Commen with Id 66
67,11,0,187,7,Some Random Commen with Id 67
68,11,0,123,2,Some Random Commen with Id 68
69,11,0,78,0,Some Random Commen with Id 69
70,12,3,110,0,Some Random Commen with Id 70
71,12,3,162,7,Some Random Commen with Id 71
72,12,3,191,7,Some Random Commen with Id 72
73,12,3,164,0,Some Random Commen with Id 73
74,12,3,135,7,Some Random Commen with Id 74
75,14,3,83,4,Some Random Commen with Id 75
76,14,3,63,7,Some Random Commen with Id 76
77,14,3,49,3,Some Random Commen with Id 77
78,14,3,107,0,Some Random Commen with Id 78
79,15,1,157,2,Some Random Commen with Id 79
80,15,1,47,0,Some Random Commen with Id 80
81,15,1,144,8,Some Random Commen with Id 81
82,15,1,166,3,Some Random Commen with Id 82
83,15,1,160,3,Some Random Commen with Id 83
84,15,1,2,6,Some Random Commen with Id 84
85,15,1,83,6,Some Random Commen with Id 85
86,15,1,123,7,Some Random Commen with Id 86
87,16,2,163,5,Some Random Commen with Id 87
88,16,2,31,2,Some Random Commen with Id 88
89,16,2,190,7,Some Random Commen with Id 89
90,17,8,194,1,Some Random Commen with Id 90
91,17,8,96,0,Some Random Commen with Id 91
92,17,8,169,3,Some Random Commen with Id 92
93,17,8,126,8,Some Random Commen with Id 93
94,17,8,131,1,Some Random Commen with Id 94
95,17,8,116,0,Some Random Commen with Id 95
96,17,8,113,5,Some Random Commen with Id 96
